eenheid	omschrijving	open
kt(hu+)	taluds met mesofiel hooiland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(ku-)	taluds met ruigte of pioniersvegetatie, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(ku)	taluds met ruigte of pioniersvegetatie	TRUE
kt(ku+)	taluds met ruigte of pioniersvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(kub-)	taluds met ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(kub)	taluds met ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen	TRUE
kt(kub+)	taluds met ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(mc-)	taluds met grote zeggenvegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mc)	taluds met grote zeggenvegetatie	FALSE
kt(mc+)	taluds met grote zeggenvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mcb-)	taluds met grote zeggenvegetatie met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mcb)	taluds met grote zeggenvegetatie met beperkte opslag van struiken en bomen	FALSE
kt(mcb+)	taluds met grote zeggenvegetatie met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mr-)	taluds met rietland of andere vegetaties van het rietverbond, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mr)	taluds met rietland of andere vegetaties van het rietverbond	FALSE
kt(mr+)	taluds met rietland of andere vegetaties van het rietverbond, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mrb-)	taluds met rietland of andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mrb)	taluds met rietland of andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen	FALSE
kt(mrb+)	taluds met rietland of andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ms-)	taluds met zuur laagveen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ms)	taluds met zuur laagveen	FALSE
kt(ms+)	taluds met zuur laagveen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mz-)	taluds met brak tot zilt moeras met heen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mz)	taluds met brak tot zilt moeras met heen	FALSE
kt(mz+)	taluds met brak tot zilt moeras met heen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qa-)	taluds met eiken-haagbeukenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qa)	taluds met eiken-haagbeukenbos	FALSE
kt(qa+)	taluds met eiken-haagbeukenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qb-)	taluds met eiken-berkenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qb)	taluds met eiken-berkenbos	FALSE
kt(qb+)	taluds met eiken-berkenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qe-)	taluds met eiken-haagbeukenbos met wilde hyacint, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qe)	taluds met eiken-haagbeukenbos met wilde hyacint	FALSE
kt(qe+)	taluds met eiken-haagbeukenbos met wilde hyacint, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qk-)	taluds met eiken-haagbeukenbos op mergel, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qk)	taluds met eiken-haagbeukenbos op mergel	FALSE
kt(qk+)	taluds met eiken-haagbeukenbos op mergel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ql-)	taluds met eikenbos met witte veldbies, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ql)	taluds met eikenbos met witte veldbies	FALSE
kt(ql+)	taluds met eikenbos met witte veldbies, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qs-)	taluds met zuur eikenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qs)	taluds met zuur eikenbos	FALSE
kt(qs+)	taluds met zuur eikenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ru-)	taluds met ruderaal olmenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ru)	taluds met ruderaal olmenbos	FALSE
kt(ru+)	taluds met ruderaal olmenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(sf-)	talud met vochtig wilgenstruweel op voedselrijke bodem, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(sf)	talud met vochtig wilgenstruweel op voedselrijke bodem	FALSE
kt(sf+)	talud met vochtig wilgenstruweel op voedselrijke bodem, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(sg-)	taluds met bremstruweel, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sg)	taluds met bremstruweel	TRUE
kt(sg+)	taluds met bremstruweel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sgb-)	taluds met bremstruweel met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sgb)	taluds met bremstruweel met beperkte opslag van struiken en bomen	TRUE
kt(sgb+)	taluds met bremstruweel met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sgu-)	taluds met gaspeldoornstruweel, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(sgu)	taluds met gaspeldoornstruweel	FALSE
kt(sgu+)	taluds met gaspeldoornstruweel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(sk-)	taluds met struweel op kalkrijke bodem, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sk)	taluds met struweel op kalkrijke bodem	TRUE
kt(sk+)	taluds met struweel op kalkrijke bodem, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sp-)	taluds met doornstruweel, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sp)	taluds met doornstruweel	TRUE
kt(sp+)	taluds met doornstruweel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sz-)	taluds met opslag van allerlei aard, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(sz)	taluds met opslag van allerlei aard	FALSE
kt(sz+)	taluds met opslag van allerlei aard, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(va-)	taluds met alluviaal elzen- essenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(va)	taluds met alluviaal elzen- essenbos	FALSE
kt(va+)	taluds met alluviaal elzen- essenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(vm-)	taluds met elzenbroek, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(vm)	taluds met elzenbroek	FALSE
kt(vm+)	taluds met elzenbroek, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(vn-)	taluds met nitrofiel alluviaal elzenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(vn)	taluds met nitrofiel alluviaal elzenbos	FALSE
kt(vn+)	taluds met nitrofiel alluviaal elzenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt+	talud, veel en/of met soortenrijke vegetatie, ook al is die niet met andere karteringseenheid aangeduid	FALSE
ku	ruigte of pioniersvegetatie	TRUE
ku-	ruigte of pioniersvegetatie, slechts banale soorten aanwezig	TRUE
ku+	ruigte of pioniersvegetatie, (zeer) soortenrijk met minder algemene soorten	TRUE
kub	ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen	TRUE
kub-	ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, slechts banale soorten aanwezig	TRUE
kub+	ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, zeer soortenrijk met minder algemene soorten	TRUE
kw	holle weg	FALSE
kw-	holle weg, morfologisch zwak ontwikkelde holle weg, met weinig interessante vegetatie	FALSE
kw+	holle weg, holle weg met soortenrijke grazige of beboste taluds	FALSE
kz	opgehoogd terrein	FALSE
l	populierenbestand	FALSE
lar	lork (Larix sp.)	FALSE
lh	populierenbestand vochtige bodem	FALSE
lh+	vochtige populierenaanplant met maretak	FALSE
lhb	populierenbestand op vochtige bodem met ondergroei van bomen en struiken	FALSE
lhb-	populierenbestand op vochtige bodem met ondergroei van bomen en struiken, zwak ontwikkeld, weinig voorkomend en/of jonge aanplant	FALSE
lhb+	populierenbestand op vochtige bodem met ondergroei van bomen en struiken, goed ontwikkeld en/of met zeldzame soorten (bv. Maretak)	FALSE
lhi	populierenbestand op vochtige bodem met ondergroei van kruiden of ruigtevegetatie	FALSE
lhi-	populierenbestand op vochtige bodem met ondergroei van kruiden of ruigtevegetatie, zwak ontwikkeld, weinig voorkomend en/of jonge aanplant	FALSE
lhi+	populierenbestand op vochtige bodem met ondergroei van kruiden of ruigtevegetatie, goed ontwikkeld en/of met zeldzame soorten (bv. Maretak)	FALSE
lig	wilde liguster (Ligustrum vulgare)	TRUE
ls	populierenbestand op droge bodem	FALSE
ls+	droge populierenaanplant met maretak	FALSE
lsb	populierenbestand op droge bodem met ondergroei van bomen en struiken	FALSE
lsb-	populierenbestand op droge bodem met ondergroei van bomen en struiken, zwak ontwikkeld, weinig voorkomend en/of jonge aanplant	FALSE
lsb+	populierenbestand op droge bodem met ondergroei van bomen en struiken, goed ontwikkeld en/of met zeldzame soorten (bv. Maretak)	FALSE
lsh	populierenbestand op droge bodem grazige ondergroei	FALSE
lsh-	populierenbestand op droge bodem grazige ondergroei, zwak ontwikkeld, weinig voorkomend en/of jonge aanplant	FALSE
lsh+	populierenbestand op droge bodem grazige ondergroei, goed ontwikkeld en/of met zeldzame soorten (bv. Maretak)	FALSE
lsi	populierenbestand op droge bodem met ondergroei van kruiden of ruigtevegetatie	FALSE
lsi-	populierenbestand op droge bodem met ondergroei van kruiden of ruigtevegetatie, zwak ontwikkeld, weinig voorkomend en/of jonge aanplant	FALSE
lsi+	populierenbestand op droge bodem met ondergroei van kruiden of ruigtevegetatie, goed ontwikkeld en/of met zeldzame soorten (bv. Maretak)	FALSE
m	moerassen	FALSE
mc	grote zeggenvegetatie	FALSE
mc-	grote zeggenvegetatie, zwak ontwikkeld en/of weinig voorkomend	FALSE
mc+	grote zeggenvegetatie, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mcb	grote zeggenvegetatie met beperkte opslag van struiken en bomen	FALSE
mcb-	grote zeggenvegetatie met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
mcb+	grote zeggenvegetatie met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
md	drijfzoom en/of drijftil	FALSE
md-	drijfzoom en/of drijftil, zwak ontwikkeld en/of weinig voorkomend	FALSE
md+	drijfzoom en/of drijftil, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mk	alkalisch laagveen	FALSE
mk-	alkalisch laagveen, zwak ontwikkeld en/of weinig voorkomend	FALSE
mk+	alkalisch laagveen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mm	galigaanvegetatie	FALSE
mm-	galigaanvegetatie, zwak ontwikkeld en/of weinig voorkomend	FALSE
mm+	galigaanvegetatie, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mp	duinpanvegetatie van kalkrijke, vochtige milieus	FALSE
mp-	duinpanvegetatie van kalkrijke, vochtige milieus, zwak ontwikkeld en/of weinig voorkomend	FALSE
mp+	duinpanvegetatie van kalkrijke, vochtige milieus, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mr	rietland en andere vegetaties van het rietverbond	FALSE
mr-	rietland en andere vegetaties van het rietverbond, zwak ontwikkeld en/of weinig voorkomend	FALSE
mr+	rietland en andere vegetaties van het rietverbond, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mrb	rietland en andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen	FALSE
mrb-	rietland en andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
mrb+	rietland en andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
mru	rietruigte	FALSE
mru-	rietruigte, zwak ontwikkeld en/of weinig voorkomend	FALSE
mru+	rietruigte, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ms	zuur laagveen	FALSE
ms-	zuur laagveen, zwak ontwikkeld en/of weinig voorkomend	FALSE
ms+	zuur laagveen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
msb	zuur laagveen met beperkte opslag van struiken en bomen	FALSE
msb-	zuur laagveen met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
msb+	zuur laagveen met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
myr	wilde gagel (Myrica gale)	FALSE
mz	brak tot zilt moeras met heen	FALSE
mz-	brak tot zilt moeras met heen, zwak ontwikkeld en/of weinig voorkomend	FALSE
mz+	brak tot zilt moeras met heen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
n	jong loofbos (exclusief populier)	FALSE
n-	loofhoutaanplant (exclusief populier), jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
n+	loofhoutaanplant (exclusief populier), vegetatiekundig goed ontwikkeld	FALSE
na	oud loofbos (exclusief populier)	FALSE
ned	Nederland	FALSE
ng	niet gekarteerd	FALSE
ni	jonge, recente loofhoutaanplant (voorheen geen bos)	FALSE
p	naaldhoutbestand (niet grove den)	FALSE
pa	naaldhoutbestand (niet grove den) zonder duidelijke ondergroei	FALSE
pa-	naaldhoutbestand (niet grove den) zonder duidelijke ondergroei, jonge boomlaag of weinig voorkomend in complex	FALSE
pa+	naaldhoutbestand (niet grove den) zonder duidelijke ondergroei, veel voorkomend in complex	FALSE
pi	jonge aanplant van naaldhout (niet grove den)	FALSE
pi-	jonge aanplant van naaldhout (niet grove den), weinig voorkomend in complex	FALSE
pi+	jonge aanplant van naaldhout (niet grove den), veel voorkomend in complex	FALSE
pica	fijnspar (Picea abies)	FALSE
pics	sitkaspar (Picea sitchensis)	FALSE
pinm	zeeden (Pinus maritima)	FALSE
pinn	zwarte den (Pinus nigra)	FALSE
pins	grove den (Pinus sylvestris)	FALSE
pint	Weymouthden (Pinus strobus)	FALSE
plat	plataan (Platanus sp.)	FALSE
pm	naaldhoutbestand (niet grove den) met ondergroei	FALSE
pmb	naaldhoutbestand (niet grove den) met ondergroei van bomen en struiken	FALSE
pmb-	naaldhoutbestand (niet grove den) met ondergroei van bomen en struiken, weinig voorkomend in complex	FALSE
pmb+	naaldhoutbestand (niet grove den) met ondergroei van bomen en struiken, veel voorkomend in complex	FALSE
pmc	naaldhoutbestand (niet grove den) met ondergroei van dwergstruiken	FALSE
pmh	naaldhoutbestand (niet grove den) met ondergroei van grassen en kruiden	FALSE
pmh-	naaldhoutbestand (niet grove den) met ondergroei van grassen en kruiden, weinig voorkomend in complex	FALSE
pmh+	naaldhoutbestand (niet grove den) met ondergroei van grassen en kruiden, veel voorkomend in complex	FALSE
pmp	naaldhoutbestand (niet grove den) met ondergroei van adelaarsvaren	FALSE
pms	naaldhoutbestand (niet grove den) met ondergroei van bramen, varens of jonge struiken	FALSE
pms-	naaldhoutbestand (niet grove den) met ondergroei van bramen, varens of jonge struiken, weinig voorkomend in complex	FALSE
pms+	naaldhoutbestand (niet grove den) met ondergroei van bramen, varens of jonge struiken, veel voorkomend in complex	FALSE
pop	populier (Populus sp.)	FALSE
potr	ratelpopulier (Populus tremula)	FALSE
pp	naaldhoutbestand van grove den	FALSE
ppa	grove dennenbestand zonder duidelijke ondergroei	FALSE
ppa-	grove dennenbestand zonder duidelijke ondergroei, weinig voorkomend in complex	FALSE
ppa+	grove dennenbestand zonder duidelijke ondergroei, veel voorkomend in complex	FALSE
ppi	jonge aanplant van grove den	FALSE
ppi-	jonge aanplant van grove den, weinig voorkomend in complex	FALSE
ppi+	jonge aanplant van grove den, veel voorkomend in complex	FALSE
ppm	grove dennenbestand met ondergroei	FALSE
ppmb	grove dennenbestand met ondergroei van bomen en struiken	FALSE
ppmb-	grove dennenbestand met ondergroei van bomen en struiken, weinig voorkomend in complex	FALSE
ppmb+	grove dennenbestand met ondergroei van bomen en struiken, veel voorkomend in complex	FALSE
ppmc	naaldhoutbestand met ondergroei van dwergstruiken	FALSE
ppmc+	naaldhoutbestand met ondergroei van dwergstruiken, veel voorkomend in complex	FALSE
ppmh	grove dennenbestand met ondergroei van grassen en kruiden	FALSE
ppmh-	grove dennenbestand met ondergroei van grassen en kruiden, weinig voorkomend in complex	FALSE
ppmh+	grove dennenbestand met ondergroei van grassen en kruiden, veel voorkomend in complex	FALSE
ppmp	naaldhoutbestand met ondergroei van adelaarsvaren	FALSE
ppmp+	naaldhoutbestand met ondergroei van adelaarsvaren, veel voorkomend in complex	FALSE
ppms	grove dennenbestand met ondergroei van bramen, varens, heide of jonge struiken	FALSE
ppms-	grove dennenbestand met ondergroei van bramen, varens, heide of jonge struiken, weinig voorkomend in complex	FALSE
ppms+	grove dennenbestand met ondergroei van bramen, varens, heide of jonge struiken, veel voorkomend in complex	FALSE
prua	zoete kers (Prunus avium)	FALSE
prus	Amerikaanse vogelkers (Prunus serotina)	FALSE
pse	Douglasspar (Pseudotsuga menziesii)	FALSE
q	eikenbossen	FALSE
qa	eiken-haagbeukenbos	FALSE
qa-	eiken-haagbeukenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
qa+	eiken-haagbeukenbos, vegetatiekundig goed ontwikkeld	FALSE
qb	eiken-berkenbos	FALSE
qb-	eiken-berkenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
qb+	eiken-berkenbos, vegetatiekundig goed ontwikkeld	FALSE
qe	eiken-haagbeukenbos met wilde hyacint	FALSE
qe-	eiken-haagbeukenbos met wilde hyacint, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
qe+	eiken-haagbeukenbos met wilde hyacint, vegetatiekundig goed ontwikkeld	FALSE
qk	eiken-haagbeukenbos op mergel	FALSE
qk-	eiken-haagbeukenbos op mergel, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
qk+	eiken-haagbeukenbos op mergel, vegetatiekundig goed ontwikkeld	FALSE
ql	eikenbos met witte veldbies	FALSE
ql-	eikenbos met witte veldbies, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
ql+	eikenbos met witte veldbies, vegetatiekundig goed ontwikkeld	FALSE
qs	zuur eikenbos	FALSE
qs-	zuur eikenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
qs+	zuur eikenbos, vegetatiekundig goed ontwikkeld	FALSE
que	zomereik (Quercus robur)	FALSE
quep	wintereik (Quercus petreae)	FALSE
quer	Amerikaanse eik (Quercus rubra)	FALSE
rhod	Pontische rododendron (Rhododendron ponticum)	FALSE
rob	robinia (Robinia pseudoacacia)	FALSE
ru	ruderaal olmenbos	FALSE
ru-	ruderaal olmenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
ru+	ruderaal olmenbos, vegetatiekundig goed ontwikkeld	FALSE
rud	ruderaal olmenbos van de binnenduinrand	FALSE
rud-	ruderaal olmenbos van de binnenduinrand, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
rud+	ruderaal olmenbos van de binnenduinrand, vegetatiekundig goed ontwikkeld	FALSE
s	struwelen	TRUE
sal	wilg (Salix sp.)	FALSE
sam	vlier (Sambucus sp.)	FALSE
sd	duinstruweel	FALSE
sd-	duinstruweel, zwak ontwikkeld en/of weinig voorkomend	FALSE
sd+	duinstruweel, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
sdb	duinstruweel met beperkte opslag van struiken en bomen	FALSE
sdb-	duinstruweel met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
sdb+	duinstruweel met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
se	kapvlakte	FALSE
se-	kapvlakte, zwak ontwikkeld en/of weinig voorkomend	FALSE
se+	kapvlakte, (zeer) soortenrijk met minder algemene soorten	FALSE
sf	vochtig wilgenstruweel op voedselrijke bodem	FALSE
sf-	vochtig wilgenstruweel op voedselrijke bodem, zwak ontwikkeld en/of weinig voorkomend	FALSE
sf+	vochtig wilgenstruweel op voedselrijke bodem, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
sg	bremstruweel	TRUE
sg-	bremstruweel, zwak ontwikkeld en/of weinig voorkomend	TRUE
sg+	bremstruweel, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
sgb	bremstruweel met beperkte opslag van struiken en bomen	TRUE
sgb-	bremstruweel met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	TRUE
sgb+	bremstruweel met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
sgu	gaspeldoornstruweel	FALSE
sgu-	gaspeldoornstruweel, zwak ontwikkeld en/of weinig voorkomend	FALSE
sgu+	gaspeldoornstruweel, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
sk	struweel op kalkrijke bodem	TRUE
sk-	struweel op kalkrijke bodem, zwak ontwikkeld en/of weinig voorkomend	TRUE
sk+	struweel op kalkrijke bodem, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
sm	gagelstruweel	FALSE
sm-	gagelstruweel, zwak ontwikkeld en/of weinig voorkomend	FALSE
sm+	gagelstruweel, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
smb	gagelstruweel met beperkte opslag van bomen	FALSE
smb-	gagelstruweel met beperkte opslag van bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
smb+	gagelstruweel met beperkte opslag van bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
so	vochtig wilgenstruweel op venige of zure grond	FALSE
so-	vochtig wilgenstruweel op venige of zure grond, zwak ontwikkeld en/of weinig voorkomend	FALSE
so+	vochtig wilgenstruweel op venige of zure grond, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
sob	vochtig wilgenstruweel op venige of zure grond met beperkte opslag van bomen	FALSE
sob-	vochtig wilgenstruweel op venige of zure grond met beperkte opslag van bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
sob+	vochtig wilgenstruweel op venige of zure grond met beperkte opslag van bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
sp	doornstruweel	TRUE
sp-	doornstruweel, zwak ontwikkeld en/of weinig voorkomend	TRUE
sp+	doornstruweel, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
spoor	spoorweg	FALSE
spr	braamstruweel	TRUE
sz	opslag van allerlei aard	FALSE
sz-	opslag van allerlei aard, zwak ontwikkeld en/of weinig voorkomend	FALSE
sz+	opslag van allerlei aard, (zeer) soortenrijk met minder algemene soorten of sterke bosontwikkeling	FALSE
t	hoogveen	FALSE
t+	hoogveen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
tax	taxus (Taxus baccata)	FALSE
til	linde (Tilia sp.)	FALSE
tsu	westelijke hemlockspar (Tsuga heterophylla)	FALSE
u	bebouwing en industrie	FALSE
ua	minder dichte bebouwing	FALSE
ua-	minder dichte bebouwing, weinig in complex	FALSE
uc	campings en caravanterreinen	FALSE
ud	dichte bebouwing	FALSE
ui	industrie	FALSE
ui-	industrie, weinig in complex	FALSE
ulm	iep (Ulmus sp.)	FALSE
un	bebouwing in een (half)natuurlijke omgeving	FALSE
un-	bebouwing in een (half)natuurlijke omgeving, weinig in complex	FALSE
ur	bebouwing in agrarische omgeving	FALSE
ur-	bebouwing in agrarische omgeving, weinig in complex	FALSE
ur+	bebouwing in agrarische omgeving, veel in complex	FALSE
uv	recreatiezone	FALSE
uv-	recreatiezone, weinig in complex	FALSE
uv+	recreatiezone, veel in complex	FALSE
v	vallei- en moerasbossen	FALSE
va	alluviaal elzen-essenbos	FALSE
va-	alluviaal elzen-essenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
va+	alluviaal elzen-essenbos, vegetatiekundig goed ontwikkeld	FALSE
vc	bronbos	FALSE
vc-	bronbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
vc+	bronbos, vegetatiekundig goed ontwikkeld	FALSE
vf	elzen-eikenbos	FALSE
vf-	elzen-eikenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
vf+	elzen-eikenbos, vegetatiekundig goed ontwikkeld	FALSE
vm	elzenbroek	FALSE
vm-	elzenbroek, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
vm+	elzenbroek, vegetatiekundig goed ontwikkeld	FALSE
vn	nitrofiel alluviaal elzenbos	FALSE
vn-	nitrofiel alluviaal elzenbos, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
vn+	nitrofiel alluviaal elzenbos, vegetatiekundig goed ontwikkeld	FALSE
vo	oligotroof elzenbroek met veenmossen	FALSE
vo-	oligotroof elzenbroek met veenmossen, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
vo+	oligotroof elzenbroek met veenmossen, vegetatiekundig goed ontwikkeld	FALSE
vr	ruderaal essen-elzenbos	FALSE
vt	venig berkenbroek	FALSE
vt-	venig berkenbroek, jonge boomlaag en/of vegetatiekundig zwak ontwikkeld	FALSE
vt+	venig berkenbroek, vegetatiekundig goed ontwikkeld	FALSE
wal	Wallonië	FALSE
wat	waterloop	FALSE
weg	weg	FALSE
zee	zee	FALSE
